identifier,project,commitid,date,loc,tests
Bears-1,FasterXML/jackson-databind,d44600,2017-01-09,86251,1570
Bears-140,2018swecapstone/h2ms,05577a,2018-03-22,1927,83
Bears-142,Activiti/Activiti,78b6b5,2018-03-28,182624,1952
Bears-144,aicis/fresco,5f1d1d,2018-01-19,30019,384
Bears-153,apache/incubator-servicecomb-java-chassis,cf5273,2018-01-20,58835,635
Bears-156,Blazebit/blaze-persistence,48d296,2018-03-11,173555,1788
Bears-158,cpesch/RouteConverter,81710d,2018-01-22,208903,430
Bears-159,debezium/debezium,24e305,2018-01-02,52167,485
Bears-166,EnMasseProject/enmasse,4c2be7,2018-02-22,18753,18
Bears-176,openzipkin/zipkin,a5fafd,2018-01-23,35245,213
Bears-180,spring-cloud/spring-cloud-gcp,6c5a5c,2018-01-19,6081,37
Bears-184,spring-projects/spring-data-jpa,e35a09,2018-02-16,13105,305
Bears-186,swagger-api/swagger-codegen,5ea3d3,2018-01-22,250048,9
Bears-188,SzFMV2018-Tavasz/AutomatedCar,6a656e,2018-03-10,691,7
Bears-190,thelastpickle/cassandra-reaper,5a4bfe,2018-01-11,12348,85
Bears-193,Activiti/activiti-cloud-app-service,d66c43,2018-11-24,763,11
Bears-194,albfernandez/GDS-PMD-Security-Rules,d08d1b,2018-11-15,1998,58
Bears-196,apache/incubator-tamaya,69090c,2018-11-29,26904,260
Bears-198,aws/aws-encryption-sdk-java,7cca10,2018-10-16,10726,5726
Bears-199,awslabs/amazon-kinesis-client,f52f25,2018-11-08,22155,229
Bears-200,AxonFramework/AxonFramework,b11e59,2018-11-07,119119,1344
Bears-201,brettwooldridge/HikariCP,45912e,2018-10-25,6950,145
Bears-202,classgraph/classgraph,554fbf,2018-11-02,27652,116
Bears-204,CSU-CS414-WareWolves/cs414-f18-001-WareWolves,1a22c9,2018-11-13,1963,202
Bears-206,danfickle/openhtmltopdf,586693,2018-10-27,70490,103
Bears-207,DataBiosphere/consent-ontology,e4f0f6,2018-11-12,3674,222
Bears-209,DmitriiSerikov/money-transfer-service,e5d2df,2018-10-25,1265,106
Bears-210,dungba88/libra,fbe5d2,2018-10-03,3002,178
Bears-211,FasterXML/jackson-dataformats-binary,155ec3,2018-11-29,33328,101
Bears-212,FasterXML/jackson-dataformats-text,9666f9,2018-10-24,14600,253
Bears-213,hexagonframework/spring-data-ebean,827079,2018-10-08,4923,48
Bears-220,javadev/underscore-java,321c6a,2018-10-01,6963,405
Bears-222,jgrapht/jgrapht,c5c297,2018-10-20,70972,2973
Bears-223,julianps/modelmapper-module-vavr,b358cc,2018-11-29,67,9
Bears-224,kmehrunes/valuestreams,e9d52b,2018-10-10,595,12
Bears-225,lettuce-io/lettuce-core,f57be1,2018-10-08,87060,2016
Bears-227,OpenFeign/feign,e15e9f,2018-11-13,11500,288
Bears-228,openmrs/openmrs-module-htmlformentry,32a82b,2018-11-08,23787,535
Bears-229,openmrs/openmrs-module-webservices.rest,177e9a,2018-11-22,34105,1168
Bears-230,opentracing-contrib/java-p6spy,72faab,2018-09-21,224,19
Bears-231,org-tigris-jsapar/jsapar,97bde7,2018-11-07,12230,382
Bears-232,paritytrading/foundation,fa92de,2018-10-31,795,80
Bears-233,pippo-java/pippo,6348e7,2018-10-25,25426,131
Bears-234,rafonsecad/cash-count,13288f,2018-10-02,518,15
Bears-238,rkonovalov/jsonignore,6332d1,2018-10-16,219,9
Bears-239,shapesecurity/shift-java,38e185,2018-11-16,36511,3784
Bears-240,smallcreep/cucumber-seeds,3bb56d,2018-10-17,1793,26
Bears-241,societe-generale/ci-droid-tasks-consumer,22675d,2018-09-20,2313,45
Bears-242,SonarOpenCommunity/sonar-cxx,040a94,2018-10-06,22672,616
Bears-243,SpoonLabs/gumtree-spoon-ast-diff,8eaaa2,2018-09-22,922,96
Bears-245,square/javapoet,c93bfa,2018-10-04,4064,334
Bears-246,thelinmichael/spotify-web-api-java,a30e1e,2018-10-18,22754,229
Bears-249,vitorenesduarte/VCD-java-client,bba1c4,2018-10-05,8725,24
Bears-250,vkostyukov/la4j,1229fc,2018-10-04,14124,819
Bears-251,webfirmframework/wff,75520f,2018-11-10,100415,1924
Bears-98,traccar/traccar,7bd655,2017-01-03,39038,223
